PLATEIFU,Re_kpc,SNR_HI,kappa,kappa_statErr,af,af_statErr,cv,cv_statErr,Dn4000,M_all,class_mis,inclination,OBJRA,OBJDEC,nsa_iauname,Z,VOPT,SESSION,PEAK,FHI,EFHI,LOGMHI,VHI,EV,W50,conflag,conf_prob
8727-3701,1.7502210804513445,42.8924759695194,-0.0661918291431772,0.0029480952372409,1.142804670730038,0.0118556937302138,2.3893129770992365,0.0461061421936376,1.4518535137176514,9.718437744054574,SF,22.630839923928168,54.904965246,-5.63293280732,J033937.18-053758.5,0.0209115,6269.1,AGBT17A_012_196,0.021999273,2.210843,0.119753025,9.615408,6258.98,15.747703,142.08194,0,0.0
8977-3704,1.3953853770209113,10.689056607731208,0.1271204585197863,0.012082463617364,1.3358769259234626,0.2496979618754245,5.628571428571429,0.2740587453858232,1.2025063037872314,9.095925655587491,SF,32.891422907839434,118.774403646,32.7286684209,J075505.85+324343.1,0.0178433,5349.3,AGBT17A_012_239-AGBT17A_012_243,0.00879176,0.7507473,0.08747381,9.010842,5351.014,62.49986,70.96232,0,0.0
9192-3703,2.2955241159742874,12.939415759106398,-0.0244376350081747,0.012421849211272,1.4935918933730177,0.0826683369813654,2.946426823244181,0.2693955362058832,1.3908584117889404,9.731200224198579,SF,49.77984390133162,46.070671944,0.51988598971,J030416.95+003111.5,0.0435179,13046.3,AGBT19A_127_44,0.008636841,1.1087475,0.12805744,9.973138,13399.908,5.209093,218.69113,0,0.0
8989-9101,5.471703817686261,17.770547773686793,-0.0147123302593702,0.0083064203286349,1.0204636156336484,0.0254042623152168,3.110344827586207,0.1383129793332947,1.7462589740753174,10.365120925859411,QS,60.20345953386266,176.35873382,49.8790405576,J114526.10+495244.5,0.0333221,9989.7,AGBT17A_012_116-AGBT17A_012_123-AGBT17A_012_126,0.0114396205,2.2721512,0.19654028,10.031391,9994.763,35.82724,400.3874,0,0.0
8991-6103,3.083381130590078,22.45481144289908,0.0675466472215405,0.0067189179846931,1.2126994046526334,0.0633791448379297,4.604807112718504,0.1755726286767618,1.6058341264724731,9.977218158219188,QS,43.731841790711435,176.129687468,53.6827216477,J114431.12+534057.9,0.0272949,8182.8,AGBT17A_012_143,0.014396482,1.8779056,0.12889192,9.772118,8146.3306,24.09789,164.21335,0,0.0
9865-1902,1.8077029036023735,9.817203676729994,0.1113020945410023,0.0271090638678512,1.0930581412016371,0.1833506304990017,5.5437167937167935,0.4040494296003625,1.6587928533554077,9.406022124423494,QS,54.022259707502556,223.866232266,51.0477379587,J145527.87+510251.9,0.0302664,9073.6,AGBT17A_012_313,0.007778084,0.83305424,0.13665575,9.508541,9035.879,22.812498,158.36829,0,0.0
10215-1902,1.4064278610427572,8.675050710342825,0.0160287972769044,0.0132563318592349,1.2996026932654727,0.0808786314535444,3.292731841102132,0.1674087863630348,1.3294132947921753,9.699101141468843,SF,48.04168060944944,123.857378368,37.3405186037,J081525.77+372025.8,0.0397304,11910.9,AGBT19A_127_19,0.007999643,0.70853865,0.119231395,9.6730795,11867.139,6.4450183,124.5873,0,0.0
8245-3702,2.7786552536250535,14.23424260347796,0.0334064706833313,0.0081939028927931,1.1499749392698295,0.0559745755360202,3.75287321119644,0.2059830295761794,1.8883111476898193,10.482441931885917,QS,47.52153343053747,135.295686532,20.6107068161,J090110.96+203638.4,0.0315154,9448.1,AGBT17A_012_355-AGBT19A_127_09,0.0060343705,0.84632534,0.10129569,9.564982,9565.717,16.137932,253.47691,1,0.0018439482670020713
10220-1901,0.9094721920592627,55.02171565654063,-0.0426691144091385,0.00266803433703,1.0334730222975064,0.0100149195436176,3.058549076968523,0.0344156645206034,1.7326050996780396,9.492831601897251,QS,37.67852150619742,120.805213561,33.132338795,J080313.24+330756.4,0.0175908,5273.6,AGBT19A_127_50,0.025931219,5.8364396,0.13945755,9.892895,5297.6846,8.932226,298.94846,0,0.0
10510-3704,1.6691565290893033,6.334890390004862,0.0625693554246027,0.0213092465013759,1.1515456597576303,0.2590017069944518,4.09433962264151,0.6303223123995703,1.646069884300232,9.562159581042156,QS,33.1120879715921,181.013986765,55.2049141816,J120403.35+551217.7,0.01941,5819.0,AGBT19A_127_30,0.0055220854,0.38239318,0.09586276,8.78349,5773.752,4.909629,105.77744,0,0.0
11017-3704,2.4504006143926707,17.804323804779063,0.1039475048632591,0.0117139152116465,1.1259775493592388,0.0707606154371246,5.240946084085026,0.1308182524054936,1.6958374977111816,9.958698068562569,QS,64.66297005533904,203.674287678,50.4641682307,J133441.82+502751.0,0.02890861,8666.6,AGBT20B_033_73-AGBT20B_033_76,0.013331608,2.0442092,0.14596997,9.866916,8709.829,78.32598,122.42183,0,0.0
11761-1901,1.4067776216214054,7.003247444681335,-0.0175424138803432,0.0380421488307782,1.6376893058364888,0.4041004358253028,4.124962086745526,0.6796322045186607,1.5601388216018677,9.398367838513472,QS,47.37477032297804,194.453138306,52.7792658133,J125748.74+524645.3,0.027568465,8264.8,AGBT20B_033_157,0.006013796,0.5418211,0.11084437,9.246766,8282.538,97.59824,149.39705,0,0.0
11025-6101,2.327130617979927,9.81133172846008,-0.079083068564589,0.0157269947700605,1.213586823946924,0.0747039728439605,2.548387096774193,0.4397731078370657,1.3973324298858643,9.321587018953498,SF,55.640347256246535,257.139312744,57.4767036438,J170833.43+572836.1,0.0296101,8873.0,AGBT20B_033_104-AGBT20B_033_99,0.0049842917,0.1948249,0.068198696,8.860453,8858.292,11.009319,78.66178,0,0.0
8622-3703,2.325263225100967,13.534403071687878,0.0120121320364139,0.0152957263851571,1.1164307055963385,0.022674717225383,3.991596638655463,0.3108697797885453,1.407766580581665,9.57482385530486,SF,70.94683274995276,351.22558,14.2152,J232454.13+141254.7,0.0256215,7681.337,ALFALFA,0.0043557775,1.1,0.08,9.45,7681.0,5.0,-999.0,0,0.0
11828-3703,1.702253639769642,18.47097545519033,0.0606933353442282,0.0062631638377021,1.0616632819144336,0.0289576970074304,4.004290525437588,0.1242777083820714,1.1638414859771729,9.732636928812827,SF,28.111293292677836,163.26602265,4.63186720641,J105303.80+043755.0,0.019323397,5793.155,ALFALFA,0.016680805,2.27,0.08,9.62,5805.0,7.5,-999.0,0,0.0
12487-1902,1.4709187164952089,5.8818297198362135,-0.0696780038093826,0.0337821489260253,1.1560493455819387,0.037241323298176,2.866425451517982,0.6653072512893033,1.3174221515655518,9.55500350335687,SF,51.00476668498797,137.844489995,30.0964312885,J091122.67+300547.1,0.026493622,7942.788,ALFALFA,0.0065688835,0.62,0.08,9.3,7959.0,17.5,-999.0,0,0.0
8597-1902,2.3052720360038346,9.807231484434832,0.0297207484212282,0.0254731417831949,1.3316451789663883,0.0562444160988692,3.9802016654393015,0.3946648137821417,1.9327588081359863,10.119437357412272,QS,43.38102694533724,223.391244075,48.6987897054,J145333.89+484155.6,0.036433,10922.3,AGBT19A_127_57-AGBT19A_127_61-AGBT20B_033_06,0.009061319,1.2920856,0.17708994,9.864029,10938.628,15.26723,378.40826,0,0.0
